ts,BalancingPowerPriceUpEUR,BalancingPowerPriceUpDKK,BalancingPowerPriceDownEUR,BalancingPowerPriceDownDKK
2021-01-01 00:00:00,50.879787,378.51001,18.503084,137.649994
2021-01-01 01:00:00,48.199429,358.570007,48.199429,358.570007
2021-01-01 02:00:00,44.688343,332.450012,44.688343,332.450012
2021-01-01 03:00:00,42.927425,319.350006,42.927425,319.350006
2021-01-01 04:00:00,40.397617,300.529999,40.397617,300.529999
2021-01-01 05:00:00,40.208084,299.119995,40.208084,299.119995
2021-01-01 06:00:00,39.636795,294.869995,39.636795,294.869995
2021-01-01 07:00:00,40.097858,298.299988,40.097858,298.299988
2021-01-01 08:00:00,41.278076,307.079987,41.278076,307.079987
2021-01-01 09:00:00,44.888634,333.940002,21.003321,156.25
2021-01-01 10:00:00,45.008266,334.829987,24.004946,178.580002
2021-01-01 11:00:00,47.208744,351.200012,23.004852,171.139999
2021-01-01 12:00:00,50.789726,377.839996,29.372387,218.509995
2021-01-01 13:00:00,45.498905,338.480011,30.399366,226.149994
2021-01-01 14:00:00,44.738079,332.820007,30.771713,228.919998
2021-01-01 15:00:00,46.598469,346.660004,46.598469,346.660004
2021-01-01 16:00:00,78.13504,581.27002,52.999611,394.279999
2021-01-01 17:00:00,67.210625,500.0,60.271801,448.380005
2021-01-01 18:00:00,60.621296,450.980011,60.621296,450.980011
2021-01-01 19:00:00,60.371273,449.119995,60.371273,449.119995
2021-01-01 20:00:00,67.076202,499.0,57.411316,427.100006
2021-01-01 21:00:00,79.195625,589.159973,53.870659,400.76001
2021-01-01 22:00:00,99.151802,737.619995,53.460674,397.709991
2021-01-01 23:00:00,107.537003,800.0,49.729141,369.950012
2021-01-02 00:00:00,60.489563,450.0,46.699287,347.410004
2021-01-02 01:00:00,67.210625,500.0,42.438133,315.709991
2021-01-02 02:00:00,59.145351,440.0,41.097954,305.73999
2021-01-02 03:00:00,56.005268,416.640015,40.007797,297.630005
2021-01-02 04:00:00,55.233692,410.899994,37.557297,279.399994
2021-01-02 05:00:00,39.007702,290.190002,39.007702,290.190002
2021-01-02 06:00:00,42.098045,313.179993,20.003225,148.809998
2021-01-02 07:00:00,44.967941,334.529999,20.538223,152.789993
2021-01-02 08:00:00,48.458858,360.5,22.004759,163.699997
2021-01-02 09:00:00,52.010269,386.920013,22.004759,163.699997
2021-01-02 10:00:00,52.010269,386.920013,22.004759,163.699997
2021-01-02 11:00:00,52.159477,388.029999,52.159477,388.029999
