ts,mean_pressure,BalancingPowerPriceDownDKK,BalancingPowerPriceDownEUR,BalancingPowerPriceUpDKK,BalancingPowerPriceUpEUR,SpotPriceDKK,max_wind_speed_3sec,max_wind_speed_10min,mean_wind_speed,mean_wind_power,Kalby_AP
2021-01-01 00:00:00,1006.0,137.649994,18.503084,378.51001,50.879787,378.519989,7.7,6.2,5.0,493.91250000000014,-399.0846098139663
2021-01-01 01:00:00,1006.2,358.570007,48.199429,358.570007,48.199429,358.579987,7.7,6.2,5.2,558.4542878976017,-647.456525895972
2021-01-01 02:00:00,1006.2,332.450012,44.688343,332.450012,44.688343,332.459991,6.7,5.1,4.6,376.3140840383992,-441.3618336397647
2021-01-01 03:00:00,1006.0,319.350006,42.927425,319.350006,42.927425,319.369995,6.7,5.1,4.4,322.15655293439954,-328.243389423173
2021-01-01 04:00:00,1006.0,300.529999,40.397617,300.529999,40.397617,300.540009,6.2,4.6,4.2,270.3593964095995,-466.31095023778255
2021-01-01 05:00:00,1006.0,299.119995,40.208084,299.119995,40.208084,299.130005,6.7,5.1,4.2,270.3593964095995,-223.0897171586481
2021-01-01 06:00:00,1006.0,294.869995,39.636795,294.869995,39.636795,294.890015,6.2,4.6,3.9,195.934183263899,-248.1037139892344
2021-01-01 07:00:00,1006.1,298.299988,40.097858,298.299988,40.097858,298.309998,6.7,5.1,5.0,493.91250000000014,-733.0189019096778
2021-01-01 08:00:00,1006.3,307.079987,41.278076,307.079987,41.278076,307.089996,7.2,5.7,5.4,627.5351565504012,-770.7238226996759
2021-01-01 09:00:00,1006.6,156.25,21.003321,333.940002,44.888634,333.950012,7.7,4.6,4.6,376.3140840383992,-638.5466157356549
2021-01-01 10:00:00,1006.6,178.580002,24.004946,334.829987,45.008266,334.850006,6.7,4.6,4.2,270.3593964095995,-338.5547651811591
2021-01-01 11:00:00,1006.4,171.139999,23.004852,351.200012,47.208744,351.220001,6.2,4.6,4.1,245.1787110339017,-111.14145688644444
2021-01-01 12:00:00,1006.3,218.509995,29.372387,377.839996,50.789726,377.850006,5.7,4.1,3.6,123.983092454399,-65.85772235553847
2021-01-01 13:00:00,1006.5,226.149994,30.399366,338.480011,45.498905,338.48999,5.7,4.1,3.4,0.0,-91.39360608529825
2021-01-01 14:00:00,1006.7,228.919998,30.771713,332.820007,44.738079,332.839996,5.7,4.1,3.6,123.983092454399,-78.73515624983334
2021-01-01 15:00:00,1007.0,346.660004,46.598469,346.660004,46.598469,346.679993,6.2,4.1,4.0,220.39080000000013,-208.9721580039592
2021-01-01 16:00:00,1007.0,394.279999,52.999611,581.27002,78.13504,394.299988,6.2,4.1,3.7,147.7836960530999,-266.4671182753924
2021-01-01 17:00:00,1007.2,448.380005,60.271801,500.0,67.210625,448.390015,6.7,5.1,4.4,322.15655293439954,-166.90843822337035
2021-01-01 18:00:00,1007.5,450.980011,60.621296,450.980011,60.621296,451.0,7.2,5.7,5.0,493.91250000000014,-356.1129918981759
2021-01-01 19:00:00,1007.8,449.119995,60.371273,449.119995,60.371273,449.140015,6.7,5.1,5.0,493.91250000000014,-597.341281250016
2021-01-01 20:00:00,1008.1,427.100006,57.411316,499.0,67.076202,427.109985,6.7,5.7,5.1,525.6484799678996,-470.16795813514136
2021-01-01 21:00:00,1008.5,400.76001,53.870659,589.159973,79.195625,400.769989,7.2,5.1,4.3,295.9967345630997,-498.4971756280687
2021-01-01 22:00:00,1008.8,397.709991,53.460674,737.619995,99.151802,397.720001,6.7,5.1,4.8,433.3813698816026,-502.44247395829336
2021-01-01 23:00:00,1009.1,369.950012,49.729141,800.0,107.537003,369.970001,6.2,4.6,4.4,322.15655293439954,-333.2389233733425
2021-01-02 00:00:00,1009.4,347.410004,46.699287,450.0,60.489563,347.420013,6.7,5.1,4.7,404.4493426911016,-417.8398643092
2021-01-02 01:00:00,1009.6,315.709991,42.438133,500.0,67.210625,315.720001,6.2,4.6,4.6,376.3140840383992,-397.8849609375895
2021-01-02 02:00:00,1009.7,305.73999,41.097954,440.0,59.145351,305.75,6.2,5.1,4.7,404.4493426911016,-453.5770353618526
2021-01-02 03:00:00,1010.0,297.630005,40.007797,416.640015,56.005268,297.640015,5.7,4.6,4.3,295.9967345630997,-352.5725491432581
