,1,2,3,4,5,6,7,8,9,10,11,12
0,1.12,1.11,1.09,1.06,1.05,0.95,0.9,0.9,0.93,1.12,1.21,1.14
1,1.1,1.08,1.07,1.05,1.02,0.94,0.89,0.88,0.94,1.13,1.19,1.09
2,1.09,1.06,1.04,1.02,1,0.93,0.85,0.85,0.94,1.11,1.18,1.07
3,1.09,1.07,1.05,1.01,0.97,0.93,0.82,0.85,0.93,1.09,1.18,1.07
4,1.1,1.08,1.07,1,0.95,0.92,0.81,0.86,0.93,1.08,1.17,1.08
5,1.09,1.11,1.08,0.99,0.92,0.89,0.78,0.85,0.92,1.08,1.17,1.09
6,1.08,1.14,1.07,0.95,0.88,0.83,0.74,0.83,0.91,1.07,1.17,1.09
7,1.1,1.15,1.05,0.9,0.83,0.82,0.73,0.81,0.88,1.06,1.17,1.09
8,1.11,1.14,1,0.87,0.83,0.84,0.74,0.81,0.87,1.04,1.16,1.09
9,1.11,1.13,0.99,0.87,0.84,0.87,0.76,0.82,0.88,1.02,1.14,1.1
10,1.11,1.13,0.98,0.87,0.86,0.89,0.78,0.83,0.91,1.01,1.13,1.11
11,1.11,1.13,0.98,0.88,0.88,0.91,0.8,0.84,0.93,0.98,1.11,1.11
12,1.1,1.13,0.98,0.89,0.88,0.92,0.81,0.84,0.95,0.97,1.09,1.1
13,1.11,1.13,0.99,0.9,0.87,0.92,0.82,0.84,0.97,0.97,1.09,1.1
14,1.14,1.14,0.99,0.89,0.86,0.92,0.81,0.82,0.99,0.99,1.1,1.11
15,1.16,1.16,1.03,0.88,0.86,0.91,0.81,0.79,1,1.02,1.12,1.13
16,1.18,1.17,1.08,0.91,0.86,0.91,0.8,0.79,1.01,1.04,1.14,1.13
17,1.18,1.16,1.11,0.95,0.89,0.9,0.78,0.79,1.03,1.04,1.15,1.14
18,1.17,1.15,1.13,0.98,0.92,0.94,0.8,0.81,1.05,1.05,1.14,1.14
19,1.17,1.15,1.14,1,0.96,0.96,0.83,0.81,1.04,1.05,1.13,1.14
20,1.19,1.14,1.14,1,0.99,0.96,0.85,0.84,1.02,1.03,1.11,1.14
21,1.19,1.14,1.15,1.01,1,0.97,0.87,0.87,1,1.01,1.09,1.14
22,1.18,1.13,1.15,1.01,0.99,0.98,0.87,0.89,0.99,1,1.06,1.15
23,1.17,1.13,1.14,1.01,1,0.98,0.87,0.91,0.98,0.99,1.04,1.16
