val,perc,sel_perc
424.72,1.91,2
423.08,3.83,4
419.2,6.22,6
417.02,8.13,8
415.25,10.05,10
413.21,11.96,12
411.22,13.88,14
409.47,15.79,16
407.55,18.18,18
406.08,20.1,20
404.63,22.01,22
403.29,23.92,24
402.11,25.84,26
400.76,28.23,28
399.72,30.14,30
398.69,32.06,32
397.71,33.97,34
396.77,35.89,36
395.89,37.8,38
394.87,40.19,40
394.1,42.11,42
393.39,44.02,44
392.69,45.93,46
392,47.85,48
391.35,49.76,50
390.56,52.15,52
389.95,54.07,54
389.36,55.98,56
388.81,57.89,58
388.27,59.81,60
387.63,62.2,62
387.12,64.11,64
386.63,66.03,66
386.15,67.94,68
385.68,69.86,70
385.23,71.77,72
384.68,74.16,74
384.26,76.08,76
383.84,77.99,78
383.42,79.9,80
383,81.82,82
382.47,84.21,84
382.03,86.12,86
381.6,88.04,88
381.15,89.95,90
380.67,91.87,92
380.18,93.78,94
379.55,96.17,96
378.99,98.09,98
378.37,100,100
