val,perc,sel_perc
7.07,1.91,2
7.06,3.83,4
7.04,6.22,6
7.02,8.13,8
7.01,10.05,10
7,11.96,12
6.99,13.88,14
6.98,15.79,16
6.97,18.18,18
6.96,20.1,20
6.95,22.01,22
6.95,23.92,24
6.94,25.84,26
6.93,28.23,28
6.93,30.14,30
6.92,32.06,32
6.91,33.97,34
6.91,35.89,36
6.9,37.8,38
6.9,40.19,40
6.89,42.11,42
6.89,44.02,44
6.89,45.93,46
6.88,47.85,48
6.88,49.76,50
6.87,52.15,52
6.87,54.07,54
6.87,55.98,56
6.86,57.89,58
6.86,59.81,60
6.86,62.2,62
6.86,64.11,64
6.85,66.03,66
6.85,67.94,68
6.85,69.86,70
6.85,71.77,72
6.84,74.16,74
6.84,76.08,76
6.84,77.99,78
6.84,79.9,80
6.83,81.82,82
6.83,84.21,84
6.83,86.12,86
6.82,88.04,88
6.82,89.95,90
6.82,91.87,92
6.82,93.78,94
6.81,96.17,96
6.81,98.09,98
6.81,100,100
